ENTITY_STABLE_ID	NAME	TRANSCRIPT_ID	AUR_01_01_01	AUR_01_01_03	AUR_01_02_01	AUR_01_02_03	AUR_01_02_04	AUR_01_03_01	AUR_01_03_02	AUR_01_03_04	AUR_01_03_06	AUR_01_04_01	AUR_01_04_02	AUR_01_04_03	AUR_01_05_03	AUR_03_409-2-01	AUR_03_409-2-02	AUR-493-1-03	AUR-493-1-02	AUR-493-4-03	AUR-493-4-02	AUR_03_549-2_03	AUR_03_549-3_03	AUR_03_549-3_01	AUR_500_02_02	AUR_500_02_01	AUR_01_07_03	AUR_01_07_05	AUR_01_07_01	AUR_01_09_03	AUR_01_09_04	AUR_01_10_08	AUR_01_10_09	AUR_01_10_03	AUR_01_10_01	AUR_01_11_03	AUR_01_11_12	AUR_01_11_04	AUR_01_11_05	AUR_01_11_07	AUR_01_11_08	AUR_01_11_09	AUR_01_11_11	AUR_01_11_01	AUR_01_12_03	AUR_01_12_04	AUR_01_12_06	AUR_01_13_03	AUR_01_13_04	AUR_01_13_01	AUR_03_549-5_05	AUR_03_549-6_01	AUR_03_549-7_03	AUR_13_676-1_03	AUR_13_676-1_01	AUR_13_676-2_03	AUR_13_676-2_01	AUR_13_676-5_03	AUR_13_676-5_01	AUR_13_676-6_03	AUR_13_676-7_03	AUR_13_676-7_01	AUR_01_14_03	AUR_01_14_04	AUR_01_14_05	AUR_01_14_06	AUR_01_14_07	AUR_01_14_08	AUR_01_15_03	AUR_01_15_12	AUR_01_15_04	AUR_01_15_06	AUR_01_15_07	AUR_01_15_08	AUR_01_15_09	AUR_01_15_10	AUR_01_15_11	AUR_01_15_01	AUR_01_16_03	AUR_01_16_04	AUR_01_17_04	AUR_01_17_05	AUR_01_17_06	AUR_01_17_02	AUR_01_19_03	AUR_01_19_05	AUR_01_19_06	AUR_01_20_03	AUR_01_20_04	AUR_01_20_05	AUR_01_20_06	AUR_01_20_09	AUR_01_20_08	AUR_01_22_04	AUR_01_22_06	AUR_01_22_07	AUR_01_22_09	AUR_01_22_01	AUR-_500_04_02	AUR-_500_04_01	AUR_500_06_02	AUR_500_06_01	AUR_500_03_02	AUR_500_03_01	AUR_06_01_03	AUR_06_01_01	AUR_06_02_03	AUR_06_02_01	AUR_06_03_03	AUR_06_05_03	AUR_06_05_01	AUR_Duke_05_18	AUR_Duke_05_27	AUR_Duke_01_11	AUR_Duke_01_20	AUR_5_412-1_03	AUR_5_412-3_03	AUR_5_412-3_01	AUR_5_412-5_03	AUR_5_412-5_05	AUR_5_412-5_01	AUR_5_412-6_03	AUR_5_412-6_01	AUR_5_412-7_03	AUR_5_412-8_03	AUR_5_412-8_01	AUR_5_412-10_03	AUR_5_412-10_01	AUR_03_549-8_03	BS14-E19700_A4	AUR_03_549-11_03	AUR_03_549-12_03	SVR-11-695_1-3
ch.1.101940785F	NA	NA	0.068095532	0.047704238	0.038020706	0.051721846	0.040858974	0.034692406	0.03481454	0.033383906	0.058668609	0.053914398	0.044796891	0.049878499	0.042002119	0.048229131	NA	0.075711076	0.062152703	0.037166235	0.046442222	0.057040356	0.04895797	0.041131058	0.040066637	0.042056554	0.038544572	0.047590945	0.050690075	0.041156479	0.038931322	0.047587748	0.050806964	0.039345197	0.050674955	0.039257126	0.031619985	0.051657571	0.051924666	0.042669806	0.042324881	0.049225469	0.06193223	0.032328524	0.050439886	0.038398625	0.055752661	0.04773574	0.04639041	0.064404371	0.053296798	0.077649465	0.05436011	0.058776919	0.110402462	0.141154739	0.093179767	0.04868481	0.127871389	0.046979763	0.041416468	0.050467991	0.054275665	0.080363153	0.049736541	0.055146388	0.053937833	0.073254219	0.030888545	0.054414605	0.046400024	0.056711781	0.043280723	0.059851159	0.056533502	0.042338348	0.051153418	NA	0.050659146	0.037699573	0.043218664	0.039299354	0.037546272	0.047472937	0.073743446	0.047685808	0.042734158	0.052609745	0.112095404	0.046018634	0.055972745	NA	NA	0.054583506	0.045125329	0.05999607	0.05529578	0.05992851	0.046153145	NA	0.042188968	0.044321471	0.039541386	0.08170017	0.038785116	0.055205447	NA	0.05321564	0.084664333	0.04811004	0.036386044	0.053783525	NA	0.056816477	0.056170803	0.061433447	0.042037688	0.036085942	0.058446833	0.03814609	NA	0.041640399	0.034322711	0.055335014	0.064593898	NA	0.048845498	0.054890575	0.051480274	0.036264904	0.056909806	0.037210524	NA
ch.1.1021960F	PUM1	NM_014676	NA	NA	0.116142999	0.164220929	0.114142103	NA	0.15279633	NA	NA	NA	0.149848013	0.140590542	0.14174906	NA	NA	NA	NA	NA	NA	NA	NA	0.075315903	NA	0.128945698	0.119551575	NA	NA	NA	0.160647603	0.120303234	0.154963726	NA	NA	0.179884937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.179063971	0.166756071	0.120790737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.151317926	NA	0.159430396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.150991279	NA	NA	0.124950307	NA	NA	0.144545066	NA	NA	0.203443666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.134898961	0.131385578	0.13529616	0.102712111	NA	NA	0.127051014	0.155132882	NA	NA	0.140291179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.167014716	0.163013286	0.179281166	NA	NA	NA	0.18997717	NA	NA	0.132652302	NA
ch.1.1026209F	NA	NA	0.080693357	0.069073815	0.090324361	0.048884225	0.106053221	0.115444902	0.121476145	0.063982453	0.133255579	0.083967827	0.076195554	0.072097045	0.086784743	0.128813819	0.113180042	0.064806583	0.117537052	0.137662795	0.108571316	0.087151172	0.117111831	0.095651252	0.068082424	0.100734687	0.082518609	0.113839888	0.116033011	0.119790634	0.092645033	0.07664011	0.071648636	0.128287576	0.089996865	0.130192792	0.090699352	0.135496722	0.112051867	0.127722289	0.123260898	0.12664885	0.121849015	0.08765541	0.097631514	0.077979553	0.126646519	0.08989094	0.109293048	0.117396106	0.106845493	0.097015097	0.120279609	0.108730252	0.123432067	0.103696887	0.08073945	0.101699663	0.118447725	0.109786931	0.101969407	0.095193962	0.101378308	0.111946348	0.11916791	0.099140806	0.110352253	0.066789631	0.099262596	0.162312932	0.119032176	0.134779641	0.183495068	0.093198188	0.125499772	0.119297833	0.127979783	0.131899975	0.086084852	0.075372668	0.104127157	0.087487694	0.084848593	0.105254988	0.22753343	0.103237184	0.119949462	0.191664434	0.405302301	0.104284858	0.113800878	0.112673758	0.191493134	0.081119235	0.047134356	0.079919061	0.108482846	0.092228574	0.064405496	0.08547082	0.092958989	0.09663397	0.106366654	0.181093254	0.089718676	0.106710377	0.091478274	0.093718508	0.124489671	0.173356432	0.095580244	0.078702554	0.117318417	0.07721046	0.088435776	0.126386693	0.08297409	0.084556981	0.070882256	0.108244804	0.086407315	0.118908848	0.148127877	0.083324236	0.121797329	NA	0.102355511	0.110291639	0.136585433	0.08845901	0.124965956	0.096358887	0.101397968
ch.1.1029351R	SNRNP40	NM_004814	NA	0.110309171	0.078773719	0.069937827	0.068089348	NA	0.125881257	0.109453199	NA	NA	0.083264999	0.090092255	0.07930903	NA	NA	NA	NA	0.102263045	0.075538923	0.073639957	0.114336162	NA	0.090934742	0.073815237	0.060985656	0.079769659	0.091650611	0.082572242	0.091488246	0.064037414	0.075991903	0.097005788	NA	0.096957747	0.082253335	0.147158954	0.082046567	0.105938788	0.102000837	0.099066047	0.132243753	NA	0.079636547	0.086848371	0.067484771	0.078356984	0.072900425	NA	NA	NA	0.125858915	0.098778728	NA	NA	NA	0.08640714	NA	0.100557249	0.082209631	NA	0.080484547	0.098999349	0.098450575	0.089779769	0.092318863	NA	NA	NA	NA	0.12002911	0.141082377	NA	0.111990012	NA	NA	NA	0.096909573	0.071992088	NA	0.099205055	0.092466576	0.114713965	0.106255693	0.087993679	0.115508717	0.100034118	0.199609443	0.1416083	NA	NA	NA	0.088158992	0.078259521	0.0794151	0.11328483	NA	0.111178698	NA	0.061552026	0.114854499	0.090068379	NA	0.103390152	0.101939912	NA	0.12243062	NA	NA	0.066597277	NA	NA	NA	NA	0.097625056	0.068726574	0.071181222	0.098972565	0.071042287	NA	0.07673732	0.062198216	0.078291134	0.085919264	NA	0.083494855	NA	0.114309175	NA	0.128190238	0.056461345	NA
ch.1.103396251R	NA	NA	NA	NA	0.092938818	NA	0.080212511	0.100793747	NA	0.10607816	NA	NA	0.103009164	0.097965104	0.087850783	NA	NA	NA	NA	0.084140879	0.08005862	NA	NA	NA	0.09451977	0.101000418	NA	NA	NA	0.094229584	NA	0.073239157	0.080918096	0.094473789	NA	0.121689183	NA	NA	NA	0.089895407	NA	0.105607222	NA	0.058282477	NA	0.102997527	0.10847158	NA	0.098251022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1269851	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.123506451	0.110412358	NA	0.099239182	0.086281824	0.092833642	NA	NA	NA	0.101816495	NA	0.113816945	NA	NA	NA	NA	NA	0.102824927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.079082341	NA	NA	NA	NA	NA	NA	0.102879915	NA	0.096238609	NA	NA	0.116136471	0.086182568	NA	NA	NA	NA	NA	NA	0.093902602	0.066691956	NA
ch.1.1047298R	PTP4A2;RP11-84A19.4	NM_001369858;NA	0.060805472	0.055557184	0.038921446	0.044937803	0.058173838	0.035992729	0.048905521	0.03620207	NA	0.059712346	0.041657798	0.034321243	0.049246445	0.064100042	NA	0.060957459	0.060359144	0.067057178	0.046944165	0.066592259	0.069729953	0.053785847	0.036059286	0.042750687	0.04045819	0.0522663	0.045100563	0.037733388	0.039811184	0.050271744	0.043323992	0.059532115	0.101134441	0.041484066	0.042621913	0.069988243	0.050036222	0.044356138	0.047330113	0.057039139	0.07203484	0.066003377	0.054812066	0.046631759	0.041080278	0.039391598	0.037564342	0.058404014	0.086521098	0.089841203	0.046575952	0.05161803	0.072853164	0.075903226	0.107314188	0.060196882	0.066689377	0.048572185	0.049300529	0.079964292	0.053460673	0.051223088	0.047660527	0.04293653	0.051638365	0.045582961	0.048140326	0.079182419	0.087860239	0.074287279	0.067477282	0.058226548	0.046498899	0.068186828	NA	NA	0.046991381	0.041735768	0.055052523	0.041760938	0.043352394	0.067279993	0.067921176	0.047067934	0.045413087	0.057674746	0.089612197	0.049883276	0.055022773	NA	0.06371878	0.047697431	0.045914113	0.043005904	0.042315304	0.052406688	0.046681592	NA	0.032171373	0.059397042	0.049526237	0.078365152	0.067075054	0.039790177	0.050147545	0.050091045	0.064947448	0.112659364	0.032229493	0.066523719	0.048168237	0.052523976	0.051760744	0.055054944	0.041166499	0.038231197	0.040461475	0.042562394	0.06434635	0.045816954	0.042363132	0.038355493	0.052995676	NA	0.049659782	0.062664691	0.055447292	0.054401048	0.066611502	0.039850698	NA
ch.1.107099706F	NA	NA	0.072248994	0.07959179	0.062352699	0.058481685	0.06171761	0.041801114	0.074391337	0.062797401	0.078516089	0.061989589	0.066213255	0.068688814	0.062439486	0.049481306	NA	0.088890282	0.08033625	0.072800006	0.07640826	0.080456875	0.066595209	0.060327896	0.077508296	0.065992804	0.054769213	0.081750163	0.069460352	0.097258385	0.088136202	0.068735197	0.056088342	0.079919847	0.085110575	0.093100034	0.057452272	0.056350931	0.088469336	0.112642678	0.104591648	0.105720141	0.072131236	0.094450202	0.076726493	0.064882188	0.072400102	0.043632418	0.087263885	0.069588373	0.085569217	0.081016053	0.068472535	0.071550883	0.105530389	0.122706987	0.106413966	0.084644083	0.0936554	0.059718271	0.103381483	0.080385008	0.054698173	0.090464638	0.080716662	0.092202649	0.089134702	0.095527449	0.04999709	0.103102485	0.078167615	0.080593658	0.088162829	0.074597141	0.09566035	0.081978657	0.064204535	0.097268293	0.088934605	0.076506025	0.069352784	0.058055218	0.067751466	0.066185676	0.16552197	0.086994232	0.063259461	0.122710879	0.09502319	0.053163312	0.082182905	NA	NA	0.105054146	0.057112682	0.075231307	0.064297208	0.08067478	0.067048617	NA	0.0785083	0.076931776	0.078219807	0.096421161	0.082941584	0.06552191	0.070935168	0.055179826	0.066318588	0.093697644	0.058765341	0.08519586	NA	0.069857472	0.06723305	0.073028362	0.072769006	0.075502578	0.046592824	0.068820675	NA	0.059750223	0.0533803	0.071814039	0.106576518	NA	0.084484194	0.071937548	0.083160535	0.067744594	0.109140124	0.072367819	NA
ch.1.1073856R	RBBP4;SYNC	NM_005610;NM_030786	0.186343098	0.171136029	0.125850751	0.107386561	0.141396348	0.146430327	0.163617819	0.154251545	NA	0.146459459	0.123952877	0.14012691	0.165482795	NA	NA	NA	NA	NA	NA	NA	0.153016569	NA	NA	0.120809551	0.10533082	NA	NA	NA	0.147406611	NA	NA	NA	NA	NA	NA	NA	0.163230727	NA	0.177198117	0.202956181	NA	NA	NA	NA	NA	0.179390241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.127609223	NA	0.126831922	0.181164935	NA	NA	0.142059338	NA	NA	NA	NA	NA	NA	0.156176313	NA	NA	NA	NA	0.152470333	NA	NA	NA	0.135271265	NA	0.152875558	0.116123163	NA	NA	0.156338805	NA	NA	NA	NA	NA	0.090706185	0.179337981	NA	0.22553915	NA	NA	0.148269643	0.156250738	NA	NA	0.179838461	NA	NA	NA	NA	0.134244413	NA
ch.1.1078655R	YARS	NA	NA	NA	0.068879134	0.084130353	0.085320939	NA	0.117281993	0.108660814	NA	NA	0.104107028	0.1048711	0.105846275	NA	NA	NA	NA	NA	0.102412166	NA	0.055115116	NA	NA	0.078977002	0.061506642	0.105380243	0.074018672	0.090180949	0.094005195	0.076620385	0.067822338	0.089492016	NA	0.097944418	0.107075376	NA	0.101190946	0.095449113	0.119023377	NA	NA	NA	NA	0.112417791	0.086760815	0.09719825	0.097984352	NA	NA	NA	0.103043569	0.114316047	NA	NA	NA	0.101736427	NA	NA	0.091485013	NA	0.092066957	NA	NA	0.078432032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.121492237	0.083791702	NA	0.102135695	0.088568643	NA	NA	0.10126047	0.094936219	0.104603823	0.070912795	0.11892173	NA	NA	NA	NA	0.10434466	0.106815718	0.133198598	NA	NA	NA	0.072291178	0.110246276	0.089896558	NA	0.103757238	0.109688593	NA	0.108492591	NA	NA	0.077434129	NA	NA	NA	NA	NA	0.060861846	0.076513932	0.102279303	0.084107148	NA	0.110039689	0.071215178	0.085817963	0.108654986	NA	0.087013298	NA	NA	NA	NA	0.053382493	NA
ch.1.1079286F	S100PBP	NM_001256121	NA	NA	0.10317587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.093724485	NA	NA	NA	0.092464914	NA	NA	NA	NA	NA	0.170610318	0.130642617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.125808266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111542362	NA	NA	NA	NA	NA	0.187292029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.090774362	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.113555115	NA	NA	NA	NA	NA	NA	0.109773707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.075973166	NA
