#Sample Identifier	Patient Identifier	Purity	Ploidy	Genome Doublings	DepMap ID	Name	Site of Finding	Sample Type	Primary Tumor Site	Site Subtype 1	Site Subtype 2	Site Subtype 3	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate	Proteomics 10-Plex ID	Proteomics TMT label	TMB (nonsynonymous)	Oncotree Code	Subtype	Lineage	Lineage Subtype	Lineage Sub-subtype	Lineage Molecular Subtype	Cancer Type	Cancer Type Detailed	Tumor Break Load
#A unique sample identifier.	Identifier to uniquely specify a patient.	Purity	Ploidy.	Genome Doublings	DepMap ID	Name	Site of Finding	The type of sample (i.e., Primary, normal, met, recurrence).	Text term to describe the organ sub-division in an individual with cancer.	Site Subtype 1	Site Subtype 2	Site Subtype 3	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate	Proteomics 10-Plex ID used in proteomics assay	Proteomics TMT label used in proteomics assay	TMB (nonsynonymous)	Oncotree Code	Subtype	Lineage	Lineage Subtype	Lineage Sub-subtype	Lineage Molecular Subtype	Cancer Type	Cancer Type Detailed	The sum of unbalanced somatic chromosomal breaks per tumor sample (Lakbir et al., Eur J Cancer 2022; Data from new manuscript in progress)
#STRING	STRING	NUMBER	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER	STRING	STRING	STRING	NUMBER	STRING	STRING	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SAMPLE_ID	PATIENT_ID	PURITY	PLOIDY	GENOME_DOUBLINGS	DEPMAPID	NAME	SITE_OF_FINDING	SAMPLE_TYPE	PRIMARY_SITE	SITE_SUBTYPE1	SITE_SUBTYPE2	SITE_SUBTYPE3	HISTOLOGY	HIST_SUBTYPE1	HIST_SUBTYPE2	HIST_SUBTYPE3	ANNOTATION_SOURCE	CELL_LINE_SOURCE	CHARACTERISTICS	GROWTH_MEDIUM	SUPPLEMENTS	FREEZING_MEDIUM	DOUBLING_TIME_FROM_VENDOR	DOUBLING_TIME	TUMOR_TYPE	TYPE_REFINED	PATHOLOGIST_ANNOTATION	MUTATION_RATE	PROTEOMICS_10PLEX_ID	PROTEOMICS_TMT_LABEL	TMB_NONSYNONYMOUS	ONCOTREE_CODE	SUBTYPE	LINEAGE	LINEAGE_SUBTYPE	LINEAGE_SUB_SUBTYPE	LINEAGE_MOLECULAR_SUBTYPE	CANCER_TYPE	CANCER_TYPE_DETAILED	TBL_SCORE
DMS53_LUNG	DMS53_LUNG	0.99	2.85	1	ACH-000698	DMS 53	NA	Primary	Lung	NS	NS	NS	Carcinoma	small_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent	Waymouth's +10%FBS	NA	5%DMSO	NA	450	lung_small_cell	lung_small_cell	Lung:SCLC	157.2416381	NA	NA	23.3333333333	SCLC	Small Cell Lung Cancer (SCLC)	lung	SCLC			Small Cell Lung Cancer	Small Cell Lung Cancer	315
SW1116_LARGE_INTESTINE	SW1116_LARGE_INTESTINE	0.97	2.76	1	ACH-000489	SW1116	NA	Primary	Large_Intestine	colon	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	ATCC	Adherent	L15+10%FBS	NA	5%DMSO	NA	123.2	colorectal	colorectal	Colorectal:Carcinoma	94.37319183	NA	NA	12.0333333333	COADREAD	Adenocarcinoma	colorectal	colorectal_adenocarcinoma			Colorectal Cancer	Colorectal Adenocarcinoma	
NCIH1694_LUNG	NCIH1694_LUNG	0.99	2.47	1	ACH-000431	NCI-H1694	ascites	Metastasis	Lung	NS	NS	NS	Carcinoma	small_cell_carcinoma	NS	NS	CCLE	ATCC	suspension line; lots of debris	DMEM:F12 (1:1) + 5% FBS	.005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine	5% DMSO	NA	81.2	lung_small_cell	lung_small_cell	Lung:SCLC	109.534987	NA	NA	12.3333333333	SCLC	Small Cell Lung Cancer (SCLC)	lung	SCLC			Small Cell Lung Cancer	Small Cell Lung Cancer	219
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.05	0	ACH-000707	P3HR-1	ascites	Metastasis	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	Lymphoid_Neoplasm	Burkitt_lymphoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	lymphoma_Burkitt	lymphoma_Burkitt	Lymphoma:NH_B_cell	166.4564059	NA	NA	11.4	BL	B-cell, Non-Hodgkins, Burkitts	lymphocyte	non_hodgkin_lymphoma	b_cell_burkitt		Mature B-Cell Neoplasms	Burkitt Lymphoma	
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1.88	0	ACH-000509	HuT 78	NA	Primary	Haematopoietic_And_Lymphoid_Tissue	skin	NS	NS	Lymphoid_Neoplasm	mycosis_fungoides-Sezary_syndrome	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	lymphoma_other	T-cell_lymphoma_other	Lymphoma:NH_T_cell	118.2175686	NA	NA	5.33333333333	MYCF	T-cell, Non-Hodgkins, Cutaneous	lymphocyte	non_hodgkin_lymphoma	t_cell_cutaneous		Mature T and NK Neoplasms	Mycosis Fungoides	
UMUC3_URINARY_TRACT	UMUC3_URINARY_TRACT	0.98	3.61	2	ACH-000522	UM-UC-3	NA	Primary	Urinary_Tract	bladder	NS	NS	Carcinoma	transitional_cell_carcinoma	NS	NS	CCLE	ATCC	Adherent epithelial	EMEM +10%FBS	NA	5%DMSO	NA	386.7	urinary_tract	urinary_tract	Bladder:Carcinoma	124.7079624	41	130c	11.5	BLCA	Transitional Cell Carcinoma	urinary_tract	bladder_carcinoma	bladder_transitional_cell		Bladder Cancer	Bladder Urothelial Carcinoma	
HOS_BONE	HOS_BONE	0.99	2.26	1	ACH-000613	HOS	NA	Primary	Bone	NS	NS	NS	Osteosarcoma	NS	NS	NS	CCLE	GNF	NA	NA	NA	NA	NA	NA	osteosarcoma	osteosarcoma	Bone:Sarcoma_Osteo	127.9796713	NA	NA	6.73333333333	OS	Osteosarcoma	bone	osteosarcoma			Bone Cancer	Osteosarcoma	
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	1.99	0	ACH-000829	HuNS1	NA	Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	Lymphoid_Neoplasm	plasma_cell_myeloma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	187.9138764	NA	NA	22.9333333333	PCM	Multiple Myeloma	plasma_cell	multiple_myeloma			Mature B-Cell Neoplasms	Plasma Cell Myeloma	
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.97	2.23	0	ACH-000557	AML-193	NA	Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	Haematopoietic_Neoplasm	acute_myeloid_leukaemia	M5	NS	CCLE	ATCC	suspension	IMDM+5%FBS	0.005mg/ml insulin, 0.005mg/ml transferrin and 5ng/ml GM-CSF	5% DMSO	NA	80.3	AML	AML	Leukemia:AML	133.3686368	NA	NA	6.53333333333	AML	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	blood	AML	M5		Leukemia	Acute Myeloid Leukemia	
RVH421_SKIN	RVH421_SKIN	1	3.2	1	ACH-000614	RVH-421	brain	Metastasis	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	NA	Adherent	RPMI1640+10%FBS	NA	5%DMSO	NA	49.5	melanoma	melanoma	Skin:Melanoma	NA	5	129c	12.1333333333	SKCM	Melanoma	skin	melanoma			Melanoma	Cutaneous Melanoma	150
