#Patient Identifier	Sample Identifier	Primary Tumor Site	Tumor Type	Sample Origin	Gene Panel	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#Identifier to uniquely specify a patient.	A unique sample identifier.	Text term to describe the organ sub-division in an individual with cancer.	Tumor Type	Sample Origin	Gene panel.	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1
PATIENT_ID	SAMPLE_ID	PRIMARY_SITE	TUMOR_TYPE	SAMPLE_ORIGIN	GENE_PANEL	ONCOTREE_CODE	CANCER_TYPE	CANCER_TYPE_DETAILED	TMB_NONSYNONYMOUS
1321N1	1321N1_CENTRAL_NERVOUS_SYSTEM	Central Nervous System	Glioma	Solid	NOVARTIS_BROAD_1651	GB	Glioma	Glioblastoma, IDH-wildtype	0
143B	143B_BONE	Bone	Osteosarcoma	Solid	NOVARTIS_BROAD_1651	OS	Bone Cancer	Osteosarcoma	0
22Rv1	22RV1_PROSTATE	Prostate	Prostate	Solid	NOVARTIS_BROAD_1651	PRAD	Prostate Cancer	Prostate Adenocarcinoma	28.51316131
23132_87	2313287_STOMACH	Stomach	Stomach	Solid	NOVARTIS_BROAD_1651	ESCC	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	27.40800002
42-MG-BA	42MGBA_CENTRAL_NERVOUS_SYSTEM	Central Nervous System	Glioma	Solid	NOVARTIS_BROAD_1651	GB	Glioma	Glioblastoma, IDH-wildtype	1.989290324
5637	5637_URINARY_TRACT	Urinary Tract	Urinary_Tract	Solid	NOVARTIS_BROAD_1651	BLCA	Bladder Cancer	Bladder Urothelial Carcinoma	6.962516134
59M	59M_OVARY	Ovary	Ovary	Solid	NOVARTIS_BROAD_1651	OCS	Ovarian Cancer	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	2.762903228
639-V	639V_URINARY_TRACT	Urinary Tract	Urinary_Tract	Solid	NOVARTIS_BROAD_1651	BLCA	Bladder Cancer	Bladder Urothelial Carcinoma	28.73419357
647-V	647V_URINARY_TRACT	Urinary Tract	Urinary_Tract	Solid	NOVARTIS_BROAD_1651	BLCA	Bladder Cancer	Bladder Urothelial Carcinoma	7.294064521
697	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	Leukemia_Other	Haematopoietic	NOVARTIS_BROAD_1651	ALAL	Leukemia	Acute Undifferentiated Leukemia	1.989290324
769-P	769P_KIDNEY	Kidney	Kidney	Solid	NOVARTIS_BROAD_1651	RCC	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	2.099806453
786-O	786O_KIDNEY	Kidney	Kidney	Solid	NOVARTIS_BROAD_1651	RCC	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	4.310129035
