#Patient Identifier	Sample Identifier	Primary Tumor Site	Tumor Type	Sample Origin	Gene Panel	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#Identifier to uniquely specify a patient.	A unique sample identifier.	Text term to describe the organ sub-division in an individual with cancer.	Tumor Type	Sample Origin	Gene panel.	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
#1	1	1	1	1	1	1	1	1	1
PATIENT_ID	SAMPLE_ID	PRIMARY_SITE	TUMOR_TYPE	SAMPLE_ORIGIN	GENE_PANEL	ONCOTREE_CODE	CANCER_TYPE	CANCER_TYPE_DETAILED	TMB_NONSYNONYMOUS
1321N1	1321N1_CENTRAL_NERVOUS_SYSTEM	Central Nervous System	Glioma	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	0.0
143B	143B_BONE	Bone	Osteosarcoma	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	0.0
22Rv1	22RV1_PROSTATE	Prostate	Prostate	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	28.7112552461
23132_87	2313287_STOMACH	Stomach	Stomach	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	27.5984158954
42-MG-BA	42MGBA_CENTRAL_NERVOUS_SYSTEM	Central Nervous System	Glioma	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	2.00311083112
5637	5637_URINARY_TRACT	Urinary Tract	Urinary_Tract	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	7.01088790892
59M	59M_OVARY	Ovary	Ovary	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	2.78209837656
639-V	639V_URINARY_TRACT	Urinary Tract	Urinary_Tract	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	28.9338231162
647-V	647V_URINARY_TRACT	Urinary Tract	Urinary_Tract	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	7.34473971411
697	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	Leukemia_Other	Haematopoietic	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	2.00311083112
769-P	769P_KIDNEY	Kidney	Kidney	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	2.11439476618
786-O	786O_KIDNEY	Kidney	Kidney	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	4.34007346743
8305C	8305C_THYROID	Thyroid	Thyroid	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	4.45135740249
8505C	8505C_THYROID	Thyroid	Thyroid	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	2.89338231162
8-MG-BA	8MGBA_CENTRAL_NERVOUS_SYSTEM	Central Nervous System	Glioma	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	2.55953050643
A101D	A101D_SKIN	Skin	Melanoma	Solid	NOVARTIS_BROAD_1651	MIXED	Cancer of Unknown Primary	Mixed Cancer Types	2.44824657137
