#Patient Identifier	Sample Identifier	Cancer Type	Epithelial	Sample Type	Category of Sample	Ploidy	P53	MDR	Doubling Time (hrs)	Oncotree Code	Cancer Type Detailed	TMB (nonsynonymous)
#Identifier to uniquely specify a patient.	A unique sample identifier.	Cancer Type	Epithelial.	The type of sample (i.e., normal, primary, met, recurrence).	Category of Sample	Ploidy.	P53.	MDR.	Doubling time  (hrs)	Oncotree Code	Cancer Type Detailed	TMB (nonsynonymous)
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER	NUMBER	STRING	STRING	STRING
#1	1	1	1	9	1	1	1	1	1	1	1	1
PATIENT_ID	SAMPLE_ID	CANCER_TYPE	EPITHELIAL	SAMPLE_TYPE	CATEGORY_SAMPLE	PLOIDY	P53	MDR	DOUBLING_TIME	ONCOTREE_CODE	CANCER_TYPE_DETAILED	TMB_NONSYNONYMOUS
BT_549	BT_549	Breast	Yes	Metastasis	Metastasis	3n+/-, Near-triploid 69+/- (58-80)	?	-45	53.9	BRCA	Invasive Breast Carcinoma	5.83333333333
HS578T	HS578T	Breast	Yes	Primary	Primary	2n+, Hyperdiploid (47-57)	MT	NA	53.8	BRCA	Invasive Breast Carcinoma	12.0
MCF7	MCF7	Breast	Yes		Pleural effusion	3n-, Hypotriploid (58-68)	WT	14	25.4	BRCA	Invasive Breast Carcinoma	15.7333333333
MDA_MB_231	MDA_MB_231	Breast	Yes		Pleural effusion	2n+, Hyperdiploid (47-57)	MT	29	41.9	BRCA	Invasive Breast Carcinoma	8.6
T47D	T47D	Breast	Yes		NA	2n+, Hyperdiploid (47-57)	MT	19	45.5	BRCA	Invasive Breast Carcinoma	7.86666666667
SF_268	SF_268	CNS	No		NA	2n+, Hyperdiploid (47-57)	MT	-38	33.1	BRAIN	CNS/Brain	6.3
SF_295	SF_295	CNS	No		NA	5n+/-, Near-pentaploid 115+/- (104-126)	MT	91	29.5	BRAIN	CNS/Brain	4.6
SF_539	SF_539	CNS	No		NA	4n+/-, Near-tetraploid 92+/- (81-103)	WT	-40	35.4	BRAIN	CNS/Brain	5.2
SNB_19	SNB_19	CNS	No		NA	3n+/-, Near-triploid 69+/- (58-80)	MT	-41	34.6	BRAIN	CNS/Brain	4.56666666667
SNB_75	SNB_75	CNS	No		NA	2n+, Hyperdiploid (47-57)	MT	-38	62.8	BRAIN	CNS/Brain	5.16666666667
U251	U251	CNS	No		NA	2n+, Hyperdiploid (47-57)	MT	-19	23.8	BRAIN	CNS/Brain	12.1
COLO205	COLO205	Colon	Yes		Ascites	3n, Triploid (69)	MT	7	23.8	COADREAD	Colorectal Adenocarcinoma	6.8
HCC_2998	HCC_2998	Colon	Yes		NA	2n+/-, Near-diploid 46+/- (35-57)	MT	-5	31.5	COADREAD	Colorectal Adenocarcinoma	185.2
HCT_116	HCT_116	Colon	Yes		NA	2n-, Hypodiploid (35-45)	?	26	17.4	COADREAD	Colorectal Adenocarcinoma	59.5
HCT_15	HCT_15	Colon	Yes		NA	2n+/-, Near-diploid 46+/- (35-57)	?	414	20.6	COADREAD	Colorectal Adenocarcinoma	169.933333333
HT29	HT29	Colon	Yes	Primary	Primary	3n+/-, Near-triploid 69+/- (58-80)	MT	15	19.5	COADREAD	Colorectal Adenocarcinoma	11.5
KM12	KM12	Colon	Yes		NA	2n+/-, Near-diploid 46+/- (35-57)	MT	-19	23.7	COADREAD	Colorectal Adenocarcinoma	65.3333333333
SW_620	SW_620	Colon	Yes		NA	2n+/-, Near-diploid 46+/- (35-57)	MT	31	20.4	COADREAD	Colorectal Adenocarcinoma	9.86666666667
A549	A549	Non-Small Cell Lung	Yes		NA	3n+/-, Near-triploid 69+/- (58-80)	WT	10	22.9	NSCLC	Non-Small Cell Lung Cancer	7.23333333333
EKVX	EKVX	Non-Small Cell Lung	Yes		NA	3n+/-, Near-triploid 69+/- (58-80)	MT	-9	43.6	NSCLC	Non-Small Cell Lung Cancer	12.7
HOP_62	HOP_62	Non-Small Cell Lung	Yes		NA	4n+, Hypertetraploid (93-103)	MT	61	39	NSCLC	Non-Small Cell Lung Cancer	15.1333333333
