Entrez_Gene_Id	TCGA-01-0628-01-11	TCGA-01-0630-01-11	TCGA-01-0631-01-11	TCGA-01-0633-01-11	TCGA-01-0636-01-11	TCGA-01-0637-01-11	TCGA-01-0639-01-11	TCGA-01-0642-01-11
1	-0.036368459	0.058870944	0.64330293	0.086335082	-0.117078936	-0.008689609	0.265001472	0.339984157
2	0.421042237	1.077894605	1.139208853	1.84516905	0.299583402	0.970318461	-0.278207763	1.281792237
9	0.469932875	0.737846657	0.603197263	0.597158664	0.725846657	0.772418085	1.422389514	1.202989514
10	0.038600654	-0.002368991	0.300161953	0.067055927	0.241643249	0.014337551	0.021055562	-0.061004714
12	3.639748109	0.376105801	3.904658884	2.650759647	-0.737546221	5.890221186	2.572198109	4.646998109
13	-1.669078575	-1.568172342	-1.492972921	-0.499429681	-1.529114943	-1.393993822	-1.351975881	-1.222958436
14	-0.658794917	-0.325003261	-0.798494917	-0.452796114	0.034621773	-0.343294917	-0.504383324	-0.437817262
15	-0.051625693	0.06960434	0.183882387	-0.12779236	-0.056554558	-0.011483682	0.138794198	-0.008478586
16	-0.748687018	-0.415751001	-0.682980951	-0.299625476	-0.102332559	-0.072616011	0.444623999	-0.066542052
18	-0.346817167	-0.446224883	-0.932346555	-0.305488422	-0.164577325	-0.47706786	0.299261137	-0.310638863
19	-1.088046396	-0.358712061	-0.717397435	-0.109374737	-0.779043168	-0.209377562	-1.7058006	-0.798078766
20	0.2867691	0.1221191	-0.101786471	-0.073422721	0.1025861	-0.044349715	0.0460191	0.3017691
21	-0.056355066	-0.424267232	-0.942934672	-0.358487538	-0.281087398	-0.219252793	-0.423278054	0.177269934
22	-0.392791295	0.30322329	-0.76250328	-0.112344547	0.33274793	0.02942329	-0.29547671	-0.52120037
23	-0.268930138	-0.026352423	-0.55515059	-0.449196094	-0.485467254	-0.127598331	-0.088981359	-0.396617124
24	-0.152886486	-0.212910027	-0.204830931	-0.228386486	-0.494141873	-0.164317381	-0.554909267	-0.138053153
25	0.342725334	0.252142987	0.287401841	0.642932618	0.165285334	0.363605334	0.205503112	0.610594968
26	-0.672360023	-0.659961689	-0.67521039	-0.652192502	-0.670757582	-1.038303037	-0.758178037	-0.465053037
27	-0.326347314	-0.34170163	-0.390926989	-0.236627691	-0.270403783	-0.228469611	-0.218721273	-0.202485078
28	0.15472774	0.453792201	0.220852696	0.393624393	0.724712896	0.270168384	0.180569272	0.228312631
29	1.090107465	1.259115221	1.198203595	1.078965348	0.451638917	1.163214565	1.121050636	1.309152554
30	-0.216859652	-0.371155727	0.057903484	-0.224865747	-0.23317344	0.080634629	-0.087134978	0.274254707
31	-0.197941133	-0.175704713	-0.889733243	-0.466142213	-0.108767213	-0.056704713	-0.078600546	-0.109517213
32	-0.005430056	-0.031610131	-0.139489002	0.600982251	0.113420736	-0.096149567	-0.026477735	0.196160998
33	0.188866132	0.271588872	0.392037363	0.575480473	0.336819783	0.393148571	0.262005588	0.164755282
34	-0.473042577	-0.61786418	-0.260340527	-0.287227729	0.396139241	-0.047681549	-0.150417577	-0.340498538
35	-0.201087493	0.324133286	0.035633286	-0.024785348	0.091181486	0.137919	0.256375705	-0.097215295
36	0.159064597	0.030422135	-0.037676806	0.077494559	0.346858927	-0.004869532	-0.255550087	-0.158438976
37	-0.517171311	-0.633507163	-0.129132163	-0.232263243	-0.160632163	0.659660977	-0.254475913	-0.055945477
38	0.191295796	-0.185735167	0.227650487	0.763134473	0.69130114	0.185321268	0.57005114	0.36580114
39	-0.77565321	-0.774853642	-1.041167657	-0.772995588	-0.145040169	-0.597341402	-0.033488303	-1.252620169
40	-0.24031773	0.096817012	0.174598937	0.016120748	0.37018005	0.034764407	0.570050955	0.149015604
41	-0.087909446	0.070023438	0.621232476	0.508021855	0.001884094	0.005113338	0.666368762	0.360172422
43	-0.057376124	-0.035793006	0.106755341	0.053301656	-0.000827818	-0.201585597	-0.082978166	-0.176828922
47	-0.009910918	0.336031569	0.104372771	-0.106183645	0.189634537	0.5862709	0.895133578	0.196481537
48	-0.144589114	-0.452915619	-0.663421821	-0.341032982	-0.015997486	-0.244583225	-0.266370258	-0.509691477
49	0.061529952	0.479685559	0.198341104	0.111096248	0.149403941	0.177725357	0.406388556	0.057712411
50	-0.43683603	0.061327016	-0.265188048	-0.850800089	0.203189499	-0.107547291	0.097158784	-0.048542728
51	-0.4186228	-0.232332642	-0.391051371	-0.327596905	-0.221551249	-0.133945585	0.0153772	-0.4294228
52	-0.482799669	-0.278862707	-0.239073326	-0.607970412	0.339850518	-0.077673943	0.414253741	-0.705179144
53	-0.25435649	-0.210354004	-0.611731362	-0.227143297	-0.495038588	0.011696481	-0.03992911	-0.129231362
54	-1.147740304	-0.795584342	-0.63063663	-1.165844147	-0.685903382	-1.015729913	-0.831197677	-0.733530763
55	-0.854072682	-0.93715088	-0.993950992	-1.060931341	-1.159264407	0.284109387	-0.63721637	-0.887415363
56	-0.126453273	-0.000516681	0.051444901	-0.047430099	-0.088479907	0.046314981	0.085403234	0.239460924
58	-0.028769512	0.109872382	0.384197757	0.31079812	-0.042051781	-0.120520819	0.151057077	0.163036405
59	1.408147562	2.017180402	1.513892122	2.257478512	1.582816282	1.712134572	1.592394242	1.634645612
60	0.076348132	-0.001351659	0.173019101	0.287499918	-0.358889449	0.679644929	0.056160632	0.227848132
70	-0.152266616	0.306942396	0.499326162	0.775861041	0.072972807	0.232169301	0.484272316	0.092085545
71	0.326469087	-0.148512638	-0.177779618	-0.187544388	-0.004535918	0.537286467	-0.059730358	0.041602975
72	2.392456638	3.741502792	2.239733561	3.380656638	2.161348946	2.406733561	2.659956638	2.408256638
81	-0.059130725	-0.038813103	-0.448146436	0.051645172	-0.347060916	0.60961607	0.224518565	0.200254095
86	-1.215892154	-1.317506461	-1.54928723	-1.859100239	-0.703372535	-1.005397431	-1.430642832	-2.072055323
87	0.348131546	0.522389468	0.038415974	0.357226967	-0.214586387	0.531862711	0.611339789	0.485016731
88	-0.166188201	-0.072321365	0.129350924	0.251632742	-0.027337091	-0.082266314	-0.011099691	0.005450924
89	0.011280536	0.197529737	-0.122264184	0.160216843	-0.041445941	0.111379852	0.478999076	0.251668167
90	-0.496836953	-0.57500362	0.041032025	-0.411637535	-0.51687862	-0.16637862	-0.26700362	-0.352381468
91	-0.033647777	0.029144635	-0.111933518	-0.117673208	-0.126667464	0.043510087	-0.060628713	-0.078808822
92	-0.515760321	-0.225029906	0.017809073	0.109952326	-0.383297674	0.086136816	-0.430413147	-0.479932094
93	0.134858937	0.012807663	-0.26229211	-0.321793082	0.077225988	0.090310087	-0.217797776	-0.500560863
94	0.356286923	0.540039654	0.636339131	0.915185285	0.099072452	0.334876011	0.098439131	0.075239131
95	-0.316501949	-0.15668475	-0.20748475	-0.70028475	-0.12028475	-0.298510253	0.32981525	0.14506525
97	0.486745933	0.131295933	0.518298015	-0.274788876	0.471495933	0.041314043	1.051861933	0.162411344
98	0.032860623	-0.064268144	0.142423751	0.306163626	0.196446543	0.288643559	0.304943265	0.269323157
100	-0.066757961	-0.706945795	-0.153184288	-0.159828374	-0.574995284	-0.236941579	-0.416218021	-0.264534288
101	-0.111870141	-0.206209291	-0.000448784	-0.109986727	-0.305623372	-0.018754548	-0.319760753	-0.077702232
102	-0.037248834	-0.521098327	-0.548195564	-0.397442061	-0.464771953	0.135240903	-1.29370051	-0.472885734
103	-0.583129452	-0.612270762	-1.119746118	-0.654163418	-0.736414907	-0.284679452	-0.536296118	-0.535379452
104	0.132551504	0.42369392	-0.31700608	0.29749392	0.417729238	0.28259392	0.38219392	0.215710163
105	0.110828483	0.398206501	0.885306463	0.215082585	0.434071338	0.889833978	0.711141436	0.749282211
107	0.064185545	0.238772363	0.183075277	0.169325277	0.000940648	-0.038070109	0.401241944	0.26440861
108	0.355106647	0.505091703	0.860936241	0.492961484	0.500882797	0.428656539	0.582513012	0.812152908
109	-0.668234099	-0.340400679	0.109590323	0.272178074	-0.182564034	-0.390206135	-0.587718187	-0.12818088
111	-0.146078884	0.159114058	-0.18201559	0.14344526	-0.12896574	-0.357470317	0.030042093	0.104586444
112	-0.192383575	-0.428526799	-0.567291128	-0.009673465	-0.097519705	-0.148228041	-0.154092057	-0.110033931
113	-0.3696122	-0.374335277	-0.097796815	0.13904762	-0.234593676	-0.259181431	-0.4163122	-0.3427122
114	1.916100243	1.610998517	1.27785191	0.981446616	1.10131339	0.684624372	0.164852742	1.395342012
115	0.572700134	0.763776297	0.857131952	0.64813835	0.713495589	1.086041043	0.889209306	0.648690259
116	-0.043259334	0.076381541	0.131649103	0.097454117	-0.171240435	-0.061648949	0.150740666	0.487573999
117	0.143460875	0.351042356	0.350294208	-0.078705792	0.891294208	0.29367729	0.155960875	0.218460875
118	0.202373911	0.175619033	-0.3103297	0.563140972	0.303952366	0.447230282	0.394555541	0.24959547
119	-0.310172631	-0.53459599	-0.146442211	0.171190635	-0.573719578	-0.441863189	-0.397940672	0.310326462
120	-0.014411414	0.124913586	0.278708074	0.404683768	0.598972962	0.411981908	0.658713586	0.400565023
123	-1.407520312	-1.468123229	-0.118325998	0.257199564	-1.0316185	-0.132748229	-1.753332703	-0.582998229
124	0.811955355	0.806921763	1.101416268	1.46711222	1.293452662	1.212184603	0.812361046	0.9960961
125	2.224012801	2.743838133	2.304542292	4.61653694	2.803917136	2.21080073	1.320417162	2.860809631
126	1.058624924	0.803737831	0.907148466	1.685725874	1.409737831	0.464328041	0.503721008	0.995398344
127	0.585180524	0.790881465	0.755804019	0.580557249	0.508884065	0.548076818	1.089229282	0.699139522
128	-0.040992445	0.100101325	0.439448868	0.655924947	0.624687903	-0.266632008	0.338934658	0.013714039
130	0.929174411	1.228894227	0.964167128	0.402828161	1.189756981	1.374428018	1.996841392	0.817564227
131	-0.179953503	-0.018047281	0.066560731	-0.06899649	-0.059418714	-0.039501942	0.393221596	-0.109760112
132	-0.322763716	-0.36140256	-0.145549441	-0.365184171	0.187906739	-0.236132753	0.222611284	-0.231445482
