Hugo_Symbol	TP_2061	SC_9091	SC_9086	MO_1339	MO_1337	MO_1336	SC_9031	SC_9081	SC_9080	MO_1316	TP_2054	SC_9073	SC_9072	SC_9071	SC_9068	MO_1277	MO_1202	SC_9063	SC_9062	SC_9061	MO_1262	MO_1249	MO_1244	MO_1241	SC_9060	SC_9059	SC_9058	SC_9057	MO_1232	MO_1221	MO_1219	MO_1215	SC_9055	SC_9038	SC_9050	MO_1192	MO_1176	SC_9054	SC_9049	SC_9048	SC_9047	SC_9046	MO_1184	MO_1179	SC_9043	SC_9018	SC_9037	SC_9036	SC_9034	SC_9032	TP_2034	MO_1161	SC_9030	TP_2032	SC_9029	SC_9028	SC_9026	TP_2020	SC_9023	SC_9022	SC_9019	SC_9017	SC_9016	MO_1124	MO_1128	MO_1118	MO_1114	SC_9012	SC_9007	TP_2009	TP_2010	SC_9010	SC_9009	SC_9008	TP_2001	MO_1095	SC_9001	MO_1094	MO_1084	MO_1071	MO_1054	MO_1040	MO_1020	MO_1014	MO_1013	TP_2060	SC_9083	TP_2064	SC_9097	SC_9093	SC_9092	SC_9099	SC_9094	6115251	6115247	6115242	6115219	6115122	6115114	1115202	6115117	6115115	1115161	1115183	6115237	6115233	6115118	6115123	1115153	6115121	1115156	1115154	6115227	6115234	6115224	1115244	1115157	6115250
1-Mar	3.65567	73.1894	38.3764	46.0895	61.2585	36.6623	6.44479	31.465	7.33227	39.7478	40.9769	47.5342	60.9981	13.5929	23.458	28.5986	40.9857	18.0913	59.2706	61.64	44.4946	22.1415	29.4745	23.1887	20.2754	17.4661	36.547	28.8083	38.8755	26.5719	46.1104	19.7711	34.8196	59.4336	18.8049	66.4709	35.1534	62.4749	27.4391	19.6786	72.0893	25.1003	22.7636	5.8187	63.8985	27.2517	19.868	38.2496	31.0916	121.791	5.6133	23.4074	25.526	10.6903	72.2602	13.8665	43.5362	41.0348	11.3916	5.04674	12.6907	26.5592	36.6721	34.6641	20.8978	12.2266	18.9559	25.2608	26.5187	35.4734	22.5191	28.4505	17.8971	64.2423	33.847	19.7714	5.10488	2.54247	20.4989	18.1608	23.3237	22.8943	5.73701	31.1713	28.5144	19.8178	37.5371	66.0528	40.3735	25.7661	51.9581	57.4147	38.1626	23.4464	29.7953	35.9111	42.2706	9.35174	128.428	59.7858	36.0872	35.6756	158.58	42.7338	8.06964	54.6235	25.4019	28.1568	32.7216	59.1751	19.7147	55.9674	46.3615	30.1763	19.6964	40.0631	22.328	36.265
MARCH1	6.63357	2.21517	1.22589	0.897659	1.10594	1.05851	1.91204	1.39149	1.09138	0.403929	4.20111	2.30561	0.939523	0.437083	2.51044	1.05948	0.684458	0.721371	1.24589	2.45214	0.673151	3.26675	1.54347	1.24165	4.36788	4.42475	1.23662	2.07298	2.83201	0.637221	1.72436	1.70413	0.849865	2.53987	2.60896	1.07252	1.16312	0.855974	1.86535	1.05085	2.86134	2.02841	2.95382	1.67484	3.93273	0.265672	0.711498	4.20843	1.2915	1.40256	1.37375	0.525829	0.413141	0.867643	0.113807	0.826853	0.525144	1.21476	1.23949	0.63807	1.4976	2.62929	3.69204	0.284949	0.837118	0.630725	4.74481	0.544548	12.2365	5.8288	1.71654	2.49905	1.18907	0.294868	1.67372	1.73677	1.42934	2.1512	0.48493	1.15344	0.849326	1.02285	5.9379	1.09619	2.36632	2.99175	2.35605	1.33691	3.86948	1.99245	1.34714	0.702771	3.45548	4.06899	0.988695	1.78106	1.00269	3.88014	0.419581	1.64573	3.19968	3.07796	1.66509	3.08508	0.75264	2.55638	1.21262	3.01808	2.62919	0.958838	3.18094	2.79063	0.450837	1.46444	0.75043	2.86306	3.0424	2.62962
MARCH2	10.2093	12.8623	24.0727	12.6801	7.89688	38.7075	20.2928	14.2955	34.0296	21.4814	24.0701	31.3776	24.6205	26.2648	15.9506	16.0481	17.9741	13.9941	15.3837	28.9489	11.9329	12.8891	15.3065	6.06565	25.8191	19.0091	15.9995	27.6098	19.6658	25.5648	29.9501	13.508	20.8851	18.1263	14.8753	22.308	11.6905	34.9847	23.4196	20.8265	48.8379	22.7624	14.317	9.05016	14.0579	17.1988	18.4406	23.1956	12.7541	7.46338	17.6695	30.9794	28.5814	29.7801	17.0605	17.3176	16.7895	32.3192	20.5551	22.9717	15.7099	17.8495	3.07217	14.2794	23.2905	12.5135	18.2825	17.254	23.7488	20.3236	11.1044	25.1553	10.2393	16.3527	22.4185	16.0537	7.29797	14.023	6.28147	22.9732	27.5794	31.0638	21.8674	19.5728	30.3944	27.3448	23.037	22.1842	30.0029	30.4825	28.6502	23.1546	23.9625	12.8665	14.8645	17.6628	12.8468	17.1492	5.23241	10.7458	11.7644	12.5143	5.80394	24.2577	3.54308	14.3632	26.9752	15.2642	14.3155	6.76342	16.2595	7.17986	17.9939	19.6675	7.23279	12.2722	12.7999	8.72482
MARCH2	3.52265	13.1633	8.15001	8.46756	2.73194	8.86191	11.5029	10.7982	5.94562	26.3447	22.4166	13.8241	13.4099	4.57395	10.3907	6.11568	6.39472	14.1465	28.6009	4.98235	9.44315	1.53532	1.77391	6.55589	28.0947	7.05755	11.2928	10.7107	12.3761	2.42479	8.36941	7.62636	9.96864	9.55928	4.00484	13.549	8.98816	12.8017	6.26468	9.11842	5.401	10.7657	11.4408	1.97053	4.97777	9.02862	29.5908	10.6724	5.61631	9.43376	14.3743	9.20925	4.41027	7.0807	14.2323	6.45343	7.39124	6.84067	4.26042	4.98995	10.7787	21.0215	11.3337	20.3064	13.3754	6.12548	1.57601	13.4386	7.87261	18.8869	19.0264	11.9897	5.71668	19.4322	12.3399	11.8088	7.09268	22.1538	6.51744	15.1792	11.7047	5.47014	8.6263	10.9467	12.0186	4.48464	13.904	21.1027	5.18049	19.2026	5.74517	14.7255	4.70775	13.5652	9.27866	14.8781	7.26916	8.77222	17.3422	5.24422	9.65259	5.77092	17.4048	7.15562	4.13446	16.9607	5.98627	4.42843	7.83712	6.94226	7.46204	5.96024	16.4127	7.12016	3.61648	12.118	5.95094	7.41224
7SK	0	0	0	0	0	0	0	0	0	0	0	607.806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7SK	0.898168	0	7.29609	0	4.24897	3.54939	1.25002	0.00305559	10.2088	2.50846	9.09352	5.2217	2.29357	5.06109	10.1514	1.8783	4.21582	0.725661	0.665202	2.92209	2.28355	2.12944	3.20852	0.421297	1.29235	0.00106238	2.84733	2.74135	1.99984	1.32322	1.65478	2.42405	0.626601	2.00743	3.76865	12.4557	7.75402	1.35706	2.42504	0.759724	1.74085	1.58035	0	0	1.54656	2.42808	0	3.19456	4.73352	2.37853	7.20891	3.42785	1.15496	0.00133801	0.000852362	1.29318	0.00380722	0.989977	1.84108	3.10377	1.34703	4.44629	0.064706	2.33579	0.00830286	4.44105	0.0138411	0.0401123	2.78957	58.6309	14.0194	4.52693	13.6305	3.45505	12.848	3.41143	0.979998	7.75157	11.7355	12.2939	4.54577	21.5143	3.27319	9.63598	10.2159	0.815975	1.48337	22.9526	33.9143	26.2146	21.2893	2.90979	5.97809	6.12025	4.81706	2.05589	4.70929	0.719909	0.483156	4.78482	0.910344	1.10787	4.55315	5.17962	4.31183	4.9549	2.1739	1.68618	0.0670028	2.84024	19.6652	0.975877	4.33375	6.99965	3.04006	3.12456	1.71307	3.22278
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49735	0	0	0	0	0	0	0	0	0	0	0	24.7071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.485	0	2.46375	0	0	0	0	0	0	0	0	0	0	0	1.65015	0	0	0	0	3.21975	0	0	0	0	199.855	0	0	16.2419	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.905712	0	0	1.75495
7SK	1.05529	0	1.39811	0	2.67E-08	0.836463	0.161255	0.509242	0.282159	0	0.827439	1.67391	0	0	1.28777	0.213603	0.838159	0.482714	0.227292	0	0.156006	2.15808	0	0.881158	0.386464	0	0.522405	0.354264	0.225957	0	0.367862	3.90844	1.02179	2.15069	0.0933024	0.966197	0	0.144952	4.44677	0.544689	1.85791	0	0.656138	1.62243	0.424195	0.351968	0.276575	2.0898	1.13342	0	2.20081	0.265121	0	0	0.281	1.14785	0.219937	1.27E-05	1.86533	0.552129	4.30E-08	0.788589	5.42E-09	0	0	1.97211	1.08E-09	0.245274	5.68E-08	3.13E-07	0.58455	3.0281	1.11125	0.092606	0.785583	0.548953	30.5033	1.07941	0.0136106	1.88361	0.120695	0.467754	3.69783	1.36317	1.35517	6.52091	3.6725	0.261445	0	0.227853	0.85094	0.156981	1.79512	0.12665	0	0.0370637	0.9812	8.92E-13	1.51E-11	6.81E-12	1.08E-06	0.622187	4.02E-12	1.28E-05	0.0922901	4.10E-07	0.563326	2.12E-08	0.191005	0.0271863	0.00947332	0.0423218	4.20E-12	0.18783	1.01E-06	0	0.0233827	3.88E-12
7SK	1.34412	0	5.30753	0	0	0.925174	0.881043	1.3684	0	0	0	7.73E-06	0.425355	0	0.352887	0.906817	0.489493	0	5.25259	0.483282	0	0.366387	0	1.98E-06	2.91126	0	0	0	0.000068752	0	0.00137528	0.00184395	0.521871	0	0	2.29E-07	0	0	2.56118	0.564934	2.03352	0	0.520663	0	2.65E-05	0	0.00815515	0	2.76375	0	1.07438	0	0.8613	0	0.698146	2.98E-05	1.36E-05	1.5702	0.000010527	0.431923	0.00106209	0.886525	3.75E-20	3.83E-06	3.16118	3.66E-05	0	0.000122849	0.00101678	28.7029	0	5.49976	1.3589	0.45267	0.536497	3.69E-10	0.775804	1.3658	0	3.05461	0.369958	0	3.13349	0.513108	0.997602	1.88976	1.70078	0	1.85E-05	5.33487	0.0484899	0.00364346	0.494152	0.529253	0.373547	0.874914	0.439683	0.302688	0.388078	0	0.766329	0	0.266716	1.11082	0.179286	0.272685	0	0	0	3.49E-14	1.92047	1.34182	0	0.953177	2.25E-06	0.334083	0	1.21E-06
7SK	0	0	0	0	0	0.754118	0	0	2.25199	2.17843	0	0.408233	0.364706	0	0	0.783025	1.22336	0.267551	0.259435	0	1.34628	0	1.5452	0.324854	0	0	0	0.977132	6.66196	1.6061	0	0.444501	0	0	4.04399	0	0.41817	0	0.452919	0.500917	0.596777	0	0.457011	0	0	0	1.11203	0.522499	0	3.23158	4.77709	0.553028	0.670335	0	0	1.49701	0.50495	0	0	2.24267	0	0.743919	0	0.412962	0	0.562511	0	0	0	0	0	1.75551	0.558312	0.778323	4.42359	0.279669	0.634096	3.39896	0.487051	3.64029	3.46381	4.218	0.908242	0.896497	2.14606	0	0.459774	2.44056	0	0	1.93667	0.274365	0.843238	0.575026	0	0.821506	0.207171	0	0	0.532302	0.359698	0.256947	0.75048	0.209203	0.170106	0.215631	0	0	0	0	0.30341	0	0.775328	0	0	0	0	0.817443
