rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
1	FOXA1	forkhead box A1	264238	11	11	9	2	1	0	4	2	3	1	1.98e-12	0.710	2.66e-05	0.0642	1.18e-05	8.88e-16	3.02e-12
2	SPOP	speckle-type POZ protein	285461	23	23	10	0	0	2	16	4	1	0	4.55e-15	0.00505	0.000	0.642	0.000	<1.00e-15	<3.02e-12
3	TP53	tumor protein p53	304462	21	21	18	1	8	3	5	0	5	0	6.11e-15	0.0338	3.12e-05	0.000151	0.000	<1.00e-15	<3.02e-12
4	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	589482	9	9	7	0	0	2	5	2	0	0	3.57e-08	0.0683	1.40e-06	0.0263	0.000	<1.00e-15	<3.02e-12
5	ZNF814	zinc finger protein 814	448867	6	6	1	6	0	6	0	0	0	0	1.000	0.998	0.000	0.999	0.000	<1.00e-15	<3.02e-12
6	EEF1B2	eukaryotic translation elongation factor 1 beta 2	172692	5	5	1	5	0	0	5	0	0	0	1.000	0.958	0.000	1.000	0.000	<1.00e-15	<3.02e-12
7	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	283031	13	13	13	0	0	2	1	0	10	0	3.33e-15	0.321	0.198	0.918	0.368	4.33e-14	1.12e-10
8	PTH2	parathyroid hormone 2	58236	4	4	1	0	0	0	0	4	0	0	2.40e-07	0.335	2.40e-06	0.0815	5.00e-06	3.41e-11	7.67e-08
9	ZNF844	zinc finger protein 844	314384	7	7	3	0	0	0	0	7	0	0	4.11e-09	0.345	6.52e-05	0.999	0.000327	3.81e-11	7.67e-08
10	MUC4	mucin 4, cell surface associated	798738	19	16	13	2	5	3	0	11	0	0	2.77e-12	0.115	0.533	0.462	0.805	6.20e-11	1.12e-07
11	NPIP	nuclear pore complex interacting protein	91497	6	6	3	1	1	4	1	0	0	0	1.41e-10	0.320	0.428	0.871	1.000	3.33e-09	5.49e-06
12	LRRIQ3	leucine-rich repeats and IQ motif containing 3	443863	9	9	7	0	1	2	2	0	4	0	8.14e-10	0.245	0.153	0.837	0.256	4.85e-09	7.32e-06
13	SLC2A6	solute carrier family 2 (facilitated glucose transporter), member 6	285248	3	3	1	0	0	3	0	0	0	0	0.00458	0.241	0.000150	1.08e-05	2.00e-07	2.00e-08	2.78e-05
14	ARHGAP11B	Rho GTPase activating protein 11B	203355	6	6	2	0	0	0	1	0	5	0	6.16e-08	0.216	NaN	NaN	NaN	6.16e-08	7.97e-05
15	DBR1	debranching enzyme homolog 1 (S. cerevisiae)	407506	4	4	2	0	0	0	0	0	4	0	0.000379	1.000	1.00e-06	0.995	1.00e-05	7.73e-08	9.33e-05
16	PODXL	podocalyxin-like	362838	4	4	1	0	0	0	0	0	4	0	0.000469	1.000	8.00e-07	0.515	8.80e-06	8.39e-08	9.50e-05
17	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	310860	4	4	2	0	3	0	0	1	0	0	6.40e-05	0.344	4.04e-05	0.583	7.68e-05	9.90e-08	0.000105
18	ZNF479	zinc finger protein 479	386064	5	5	2	0	0	1	4	0	0	0	2.94e-05	0.248	5.08e-05	1.000	0.000253	1.47e-07	0.000148
19	TMEM216	transmembrane protein 216	79020	4	4	1	0	0	0	0	0	4	0	1.77e-06	0.383	0.00511	1.000	0.0136	4.46e-07	0.000425
20	MAP3K9	mitogen-activated protein kinase kinase kinase 9	751781	5	5	1	1	0	0	0	0	5	0	0.00309	1.000	0.000	0.376	8.80e-06	5.01e-07	0.000454
21	ZNF208	zinc finger protein 208	872978	8	8	6	0	0	2	5	1	0	0	6.22e-07	0.145	0.0567	0.997	0.108	1.18e-06	0.00102
22	TMEM52	transmembrane protein 52	114864	3	3	1	0	0	0	0	0	3	0	4.93e-05	1.000	0.000157	0.497	0.00313	2.58e-06	0.00205
23	ATM	ataxia telangiectasia mutated	2292391	12	12	12	0	0	5	2	4	1	0	9.68e-06	0.103	0.299	0.00486	0.0161	2.60e-06	0.00205
