ID	chrom	loc.start	loc.end	num.mark	seg.mean
TCGA-KL-8323-11	1	3218610	104558357	58272	0.0026
TCGA-KL-8323-11	1	104561488	104573702	10	-0.6372
TCGA-KL-8323-11	1	104579877	179610058	27754	0.0041
TCGA-KL-8323-11	1	179621932	179622081	2	-1.6956
TCGA-KL-8323-11	1	179623244	247813706	43114	0.0043
TCGA-KL-8323-11	2	484222	242476062	131310	0.006
TCGA-KL-8323-11	3	2212571	197538677	106379	0.0022
TCGA-KL-8323-11	4	1053934	71781186	38527	0.0048
TCGA-KL-8323-11	4	71781554	71782247	2	-2.2184
TCGA-KL-8323-11	4	71783522	101282047	16883	0.009
TCGA-KL-8323-11	4	101282636	101290649	2	-1.9537
TCGA-KL-8323-11	4	101291066	113309647	6766	-1.00E-04
TCGA-KL-8323-11	4	113310596	113311172	3	-1.6653
TCGA-KL-8323-11	4	113311790	146539630	17964	0.0042
TCGA-KL-8323-11	4	146539762	146548223	3	-1.1898
TCGA-KL-8323-11	4	146555290	188763651	22598	0.0028
TCGA-KL-8323-11	5	914233	180360469	100516	0.0031
TCGA-KL-8323-11	6	1014281	170903919	96483	0.0048
TCGA-KL-8323-11	7	705284	158385118	81320	-0.0113
TCGA-KL-8323-11	8	617667	145232496	81546	0.0033
TCGA-KL-8323-11	9	789932	140938752	68026	-0.0014
TCGA-KL-8323-11	10	415240	1882032	638	0.0134
TCGA-KL-8323-11	10	1882390	1884624	2	-1.2444
TCGA-KL-8323-11	10	1884832	14813529	9877	0.0061
TCGA-KL-8323-11	10	14813860	14816448	3	-0.9332
TCGA-KL-8323-11	10	14817067	19921270	3377	0.01
TCGA-KL-8323-11	10	19925101	19925539	2	-1.3221
TCGA-KL-8323-11	10	19927075	130036684	64591	0.0077
TCGA-KL-8323-11	10	130036773	130037344	4	-1.1072
TCGA-KL-8323-11	10	130041697	135225087	2379	-0.0028
TCGA-KL-8323-11	11	456120	88252978	47482	0.0027
TCGA-KL-8323-11	11	88255084	88256928	4	-0.9437
TCGA-KL-8323-11	11	88257930	134142530	29761	0.0027
TCGA-KL-8323-11	12	889902	64705864	33602	0.0035
TCGA-KL-8323-11	12	64706005	64709786	2	-1.4278
TCGA-KL-8323-11	12	64712511	133161346	40332	0.0018
TCGA-KL-8323-11	13	19450806	114987458	56645	-9.00E-04
TCGA-KL-8323-11	14	20501368	105988038	49445	0.0015
TCGA-KL-8323-11	15	23687685	101884307	44534	0.0044
TCGA-KL-8323-11	16	653459	89379936	40796	9.00E-04
TCGA-KL-8323-11	17	987221	12108328	6056	0.0061
TCGA-KL-8323-11	17	12108968	12113164	9	0.6486
TCGA-KL-8323-11	17	12116334	80917016	30927	0.0016
TCGA-KL-8323-11	18	329586	77109240	42660	0.0013
TCGA-KL-8323-11	19	284018	58878226	23953	0.0035
TCGA-KL-8323-11	20	455764	62219837	37284	-2.00E-04
TCGA-KL-8323-11	21	15347621	42868131	18198	0.0038
TCGA-KL-8323-11	21	42868195	42868213	2	-1.2576
TCGA-KL-8323-11	21	42868337	47678774	2387	-0.0031
TCGA-KL-8323-11	22	17423930	49331012	16927	0.0034
TCGA-KL-8323-11	23	3157107	27951220	10916	-0.005
TCGA-KL-8323-11	23	27954530	27955219	2	-1.6214
TCGA-KL-8323-11	23	27955687	124203416	39483	0.0044
TCGA-KL-8323-11	23	124204700	124235048	18	-0.9848
TCGA-KL-8323-11	23	124237313	154905589	13360	0.0057
TCGA-KL-8324-11	1	3218610	168573555	79191	0.0027
TCGA-KL-8324-11	1	168574672	168574698	2	-2.0815
TCGA-KL-8324-11	1	168580092	247813706	49942	0.0034
TCGA-KL-8324-11	2	484222	242476062	131290	0.0036
TCGA-KL-8324-11	3	2212571	97816299	52967	0.0039
TCGA-KL-8324-11	3	97818399	97818823	2	-1.9543
TCGA-KL-8324-11	3	97823629	197538677	53390	0.0061
TCGA-KL-8324-11	4	1053934	3851184	1105	0.0016
TCGA-KL-8324-11	4	3852244	3856594	3	-1.5237
TCGA-KL-8324-11	4	3858960	15985053	7904	0.0012
TCGA-KL-8324-11	4	15985454	15986648	2	-2.7259
TCGA-KL-8324-11	4	15988497	82669562	35890	0.0038
TCGA-KL-8324-11	4	82671170	82671363	4	-1.193
TCGA-KL-8324-11	4	82671938	188763651	57830	0.0024
TCGA-KL-8324-11	5	914233	84996732	45556	0.0039
TCGA-KL-8324-11	5	84996974	84998666	2	-1.6413
TCGA-KL-8324-11	5	85002217	112222694	13876	0.0015
TCGA-KL-8324-11	5	112222721	112226661	2	-1.6079
TCGA-KL-8324-11	5	112227799	180360469	41054	0.0043
TCGA-KL-8324-11	6	1014281	170903919	96474	0.0033
TCGA-KL-8324-11	7	705284	158385118	81320	0.013
TCGA-KL-8324-11	8	617667	63402743	33894	-0.0015
TCGA-KL-8324-11	8	63402894	63403478	3	-1.1899
TCGA-KL-8324-11	8	63403700	145232496	47643	-6.00E-04
TCGA-KL-8324-11	9	789932	140938752	68010	-2.00E-04
TCGA-KL-8324-11	10	415240	26813705	18400	0.0092
TCGA-KL-8324-11	10	26813737	26816051	2	-1.5735
TCGA-KL-8324-11	10	26816949	135225087	62463	0.0114
TCGA-KL-8324-11	11	456120	134142530	77238	9.00E-04
TCGA-KL-8324-11	12	889902	133161346	73938	0.0043
TCGA-KL-8324-11	13	19450806	79490052	34646	5.00E-04
TCGA-KL-8324-11	13	79490153	79495605	6	-1.0028
TCGA-KL-8324-11	13	79499974	83677316	2461	5.00E-04
TCGA-KL-8324-11	13	83683609	83697927	7	-0.8032
TCGA-KL-8324-11	13	83697935	114987458	19513	-0.001
TCGA-KL-8324-11	14	20501368	105988038	49440	0.0012
TCGA-KL-8324-11	15	23687685	101884307	44517	0.0041
TCGA-KL-8324-11	16	653459	49801330	15700	0.0022
TCGA-KL-8324-11	16	49802290	49802801	2	-1.9019
TCGA-KL-8324-11	16	49804502	56183042	4680	0.0018
TCGA-KL-8324-11	16	56194292	56222537	20	0.5586
TCGA-KL-8324-11	16	56230696	63211090	4252	-9.00E-04
TCGA-KL-8324-11	16	63211443	63215469	2	-1.496
TCGA-KL-8324-11	16	63217861	89379936	16138	0.0032
TCGA-KL-8324-11	17	987221	80917016	36986	0.0038
TCGA-KL-8324-11	18	329586	54090130	30073	3.00E-04
TCGA-KL-8324-11	18	54092043	54094530	2	-1.5165
TCGA-KL-8324-11	18	54094786	57211459	2093	-0.0074
TCGA-KL-8324-11	18	57214642	57215742	2	-1.3994
TCGA-KL-8324-11	18	57216399	61339178	2695	-0.0038
TCGA-KL-8324-11	18	61339672	61341268	2	-2.4256
TCGA-KL-8324-11	18	61344274	73898489	5888	-0.0057
TCGA-KL-8324-11	18	73899230	73906157	2	-1.5778
TCGA-KL-8324-11	18	73908039	76962454	1825	-0.0044
TCGA-KL-8324-11	18	76963495	76965346	2	-1.3094
TCGA-KL-8324-11	18	76965615	77109240	73	-0.0485
TCGA-KL-8324-11	19	284018	18031051	6894	0.0063
TCGA-KL-8324-11	19	18042337	18043430	3	-1.2809
TCGA-KL-8324-11	19	18044560	58878226	17051	3.00E-04
TCGA-KL-8324-11	20	455764	62219837	37282	-4.00E-04
TCGA-KL-8324-11	21	15347621	47678774	20583	0.0018
TCGA-KL-8324-11	22	17423930	49331012	16926	-4.00E-04
TCGA-KL-8324-11	23	3157107	50292503	21065	0.0013
TCGA-KL-8324-11	23	50293967	50294710	2	-1.6783
TCGA-KL-8324-11	23	50294993	104917131	19932	0.0066
TCGA-KL-8324-11	23	104918152	104918439	3	-1.2361
TCGA-KL-8324-11	23	104929414	154905589	22772	0.0035
TCGA-KL-8325-11	1	3218610	247813706	129139	0.0042
TCGA-KL-8325-11	2	484222	119632048	62259	0.0017
TCGA-KL-8325-11	2	119632425	119648814	24	0.4653
TCGA-KL-8325-11	2	119661221	224620667	58456	0.0037
TCGA-KL-8325-11	2	224623525	224625076	6	-1.0398
TCGA-KL-8325-11	2	224629333	228574548	2497	0.0106
TCGA-KL-8325-11	2	228576340	228604161	16	0.521
TCGA-KL-8325-11	2	228608706	242476062	8036	0.0017
TCGA-KL-8325-11	3	2212571	197538677	106359	-0.0031
TCGA-KL-8325-11	4	1053934	188763651	102737	4.00E-04
TCGA-KL-8325-11	5	914233	180360469	100496	0.0011
TCGA-KL-8325-11	6	1014281	170903919	96474	0.0035
TCGA-KL-8325-11	7	705284	81993260	41792	0.0029
TCGA-KL-8325-11	7	82183483	82264359	51	-0.9288
TCGA-KL-8325-11	7	82270018	124163263	21462	-3.00E-04
