Composite Element REF	Hugo_Symbol	Group	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01
cg00013618		BodyBody	0.909531477720986	0.936047975521667	0.822871263221703	0.808593413980514	0.927820839939019	0.956819756514634	0.947824697673929	0.953723569388806	0.796695953072199	0.958984928145064	0.939086626212963	0.950892519835774	0.84716407063777	0.912830285571007	0.918625286901458	0.914430566776205	0.473144313983126	0.944041452767206	0.927271578233571	0.960296685467939	0.919108797049732	0.949668043643892	0.951236950792711	0.930059959264185	0.889869834833527	0.939384848775941	0.952565464075555	0.917042291697073	0.926373106838902	0.953975020534212	0.911783405677208	0.951499749800938	0.953422358593561	0.962689572386729	0.918722937989621	0.756685932443669
cg00059930		NA	0.718323997327734	0.834826241166903	0.840790937962405	0.622251664945015	0.730333156354146	0.829487765871514	0.854662198470275	0.71326181729752	0.703180966939346	0.937380866558964	0.759012280686022	0.917251560479424	0.785114534535936	0.880759229434171	0.792242900834255	0.843924167392275	0.519142401438503	0.796673781043736	0.825231285776386	0.794860013188966	0.744602347927702	0.854157736841852	0.912606605251834	0.804934428055845	0.580397139043704	0.83737354133716	0.773784551028694	0.812897450182312	0.818938867720547	0.87412059744097	0.795749335617619	0.849157678975961	0.876543355859519	0.649672716277169	0.743285232656633	0.641185227143017
cg00061629		NA	0.52781241581181	0.816236800114875	NA	NA	0.626582117875389	NA	0.597800549523427	0.584590147808174	NA	NA	0.477669688692319	0.513827021251559	0.54638663502393	0.477140409375199	0.724068946821588	0.551300820616002	NA	NA	0.476910735758605	NA	NA	NA	0.699334851035194	0.38539500587517	0.322000633507484	0.72105726830935	0.0980927816668357	NA	0.326633775079672	0.513835662784124	0.771928202741937	0.64907662919894	NA	NA	NA	NA
cg00090147		Body	0.170156693437374	0.0886158985884068	0.156316796704783	0.135291557250948	0.120943152524296	0.0724794926151051	0.0862873560357982	0.0673355898516469	0.215112851971031	0.0839113428143348	0.0576922194689539	0.139777058990237	0.15504649292225	0.0532882954230714	0.0717446465656678	0.0587681948269342	0.0821483641289229	0.0539962833973682	0.138028552488922	0.109213388358383	0.237628139499567	0.0740090342120076	0.0710070037590112	0.144580450595241	0.0729793023516873	0.12418854330567	0.117273890146653	0.0692739990293891	0.113202552826329	0.0680357234610019	0.0971076382484266	0.0917087770734674	0.492777828677675	0.0686591838504468	0.17534130504624	0.139481384758867
cg00117172		NA	0.0691997193021431	0.662358515895102	0.453677474340263	0.397815463849789	0.476866792283704	0.780623753365374	0.783952008536349	0.605982494156667	0.0282137505351976	0.769900646283259	0.0478980676961922	0.883811319257982	0.408376234470711	0.81080567099314	0.655739333560848	0.0902597902521457	0.0709403597753638	0.65409422708683	0.623676058630562	0.109500189023615	0.538941371921036	0.393933314789452	0.744145415621653	0.793391734170843	0.057036160580005	0.832616581638092	0.63494276820231	0.597028947326731	0.600549269359307	0.474158948174504	0.574941457667552	0.736001103912062	0.754886978996626	0.0593732714585258	0.466802767472537	0.443246669233816
cg00129774		NA	0.0472445865627984	0.0390452694239126	0.0726087381198393	0.0534207303962207	0.0574472503038799	0.0397591560246353	0.0402021110883644	0.0422088901445897	0.0416446543462521	0.0595308770162327	0.0305517007629295	0.0603543867821621	0.0593633079591709	0.0312336749040241	0.0352530686316942	0.0296609902040809	0.0342109385611768	0.0462472219674877	0.0593439593916099	0.0500005096062479	0.0705805330124462	0.0416954340356143	0.0458326608493076	0.0710010050769501	0.0566245141888907	0.0566776755738975	0.063813983138915	0.0323441230639242	0.0723740144327108	0.0480117253348203	0.0412488991082455	0.0495307614784312	0.0344763617993777	0.0575509905128209	0.0722043299164927	0.0447041638504978
cg00210842		Body	0.0231130588494694	0.0285533757903889	0.0319830057098222	0.0233939958844648	0.0273004678180095	0.0218388342226271	0.0207219912861242	0.020641778465762	0.0201654366440227	0.0266967683952094	0.0168999259023694	0.0295981271207179	0.0277254303637408	0.0149917278878159	0.0231895822251859	0.0204575196464594	0.019639292784616	0.0243532471591497	0.0315937831287656	0.0254435418755401	0.0343509536318705	0.0290439154429049	0.0205222467526234	0.037026482009973	0.0279929089071159	0.0222371634728032	0.0242169595585704	0.0157439606863165	0.0317734812048267	0.0221728541774112	0.0233817187291919	0.0310488915464524	0.0259600796572929	0.0280510020456454	0.0435245548562579	0.021428871312726
cg00354258		TSS1500TSS200TSS1500	0.867771950809345	0.600701667734014	0.861502325130089	0.90497374187667	0.8734304424607	0.925045399272876	0.902942150755995	0.885705419370374	0.893100562370666	0.914224828678657	0.794055471305217	0.917693813571816	0.914356629608028	0.911756149931864	0.913158025071089	0.932712421514167	0.864016857178152	0.922640677599917	0.879040626098515	0.724126012997769	0.902365638317591	0.805648238038028	0.559284134715168	0.903134224821326	0.890044805694928	0.894815881690537	0.90233444310299	0.934349732155551	0.888055793598831	0.926749669577132	0.366547971937721	0.893325139950503	0.913860523234517	0.891592446927578	0.763158627617281	0.786858121371204
cg00399483		Body	0.36638684554347	0.682340977313566	0.153911484995929	0.284453997284318	0.301677445190289	0.399681057909597	0.508237525319552	0.257137727412848	0.450031356814787	0.865124495215521	0.459911981950276	0.197197664498961	0.615179165478391	0.881791218302637	0.776459466365219	0.372649603573608	0.146778112884279	0.586029913142665	0.683915227331081	0.184754907529445	0.6153479746854	0.153462195230889	0.800061302911687	0.287990160393683	0.128357621730323	0.301084096305573	0.638956201085992	0.671480826664167	0.517430983068936	0.116166126935633	0.649450589720845	0.776963663896794	0.83758099769087	0.106206712911643	0.285091500724223	0.259011217120016
cg00418150		Body	0.567253603300195	0.72252656058537	0.64332085640402	0.693378523511775	0.637748253916681	0.78964879320186	0.760002070483789	0.622816208042751	0.44133631186053	0.807870594423355	0.652178458187495	0.83686815403751	0.657189871660955	0.815865881775343	0.747307648232005	0.767926006833043	0.213313145623362	0.77063796650557	0.671684252206846	0.682176192362843	0.659632423643304	0.811712775577278	0.792189532439288	0.750431351140639	0.367772738466737	0.755391022669385	0.673795115099825	0.651979084625717	0.764262525291225	0.785897150904785	0.744705678111485	0.755257926489761	0.82947081102038	0.57269180960472	0.622863823987901	0.454429210342508
