chromosome	start	end	same_chr/new_chr	length_ratio/new_pos	file
chr4	69057735	69643272	True	0.3989	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19537035	20220416	True	2.0438	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142159154	142171618	True	-0.3139	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19427350	20079935	True	2.1696	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19465359	20079935	True	2.2420	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr5	17647063	17653599	True	2.4948	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr17	22142513	22367302	True	13.9010	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19537035	19943194	True	2.8793	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19537035	20249886	True	2.0006	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr4	69057735	69643272	True	0.3989	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142159154	142171618	True	-0.3139	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr4	69057735	69657500	True	0.4131	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142159154	142171618	True	-0.3139	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr4	69057735	69677857	True	0.4324	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142159154	142192030	True	0.3786	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19537035	20079935	True	2.4060	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19109124	19786655	True	2.1197	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19109124	19786655	True	2.1197	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142159154	142171618	True	-0.3139	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr10	80943483	81263385	True	0.0000	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr10	80943483	81263385	True	0.0000	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19338183	19786655	True	2.7020	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19418600	20060061	True	2.1899	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19162213	19465359	True	-2.3360	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142152205	142171618	True	0.1563	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19465359	19786655	True	3.3757	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr17	21812546	22367302	True	6.2275	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr17	21471897	22315936	True	4.4554	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19305294	19819961	True	2.4829	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr18	15315128	16793851	True	2.1740	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141094742	141967554	False	-162.0604	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142159154	142171618	True	-0.3139	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr15	19537035	20220416	True	2.0438	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	142152205	True	0.4559	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142167901	142171618	True	-2.7622	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	142164247	True	0.4706	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142167901	142171618	True	-2.7622	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142167901	142171618	True	-2.7622	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142167901	142171618	True	-2.7622	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10578072	11249952	True	4.7209	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142167901	142171618	True	-2.7622	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	142152205	True	0.4559	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	141967554	False	-575.4793	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141978682	142152205	False	821.0591	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	142152205	True	0.4559	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10537808	12401995	True	2.1265	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	9226063	10260135	True	0.4681	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10622062	12401995	True	2.1798	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	142045309	True	0.2769	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	142164247	True	0.4706	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142167901	142171618	True	-2.7622	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10578072	12486140	True	2.1006	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10379512	12412724	True	2.0328	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10537808	12486140	True	2.0778	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	142141101	True	0.4415	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142167901	142171618	True	-2.7622	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	142141101	True	0.4415	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10537808	12586920	True	2.0248	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10397038	11249952	True	3.9311	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142167901	142171618	True	-2.7622	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10578072	12401995	True	2.1514	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141720324	142192030	True	0.4585	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	142167901	142171618	True	-2.7622	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141978682	142098938	False	1184.3015	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10537808	12586920	True	2.0248	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10537808	12486140	True	2.0778	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr24	10537808	12586920	True	2.0248	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
chr7	141705163	141711513	True	5.0198	/Users/suny1/data/datahub/public/prad_mskcc/prad_mskcc_data_cna_hg18.seg
