chromosome	start	end	same_chr/new_chr	length_ratio/new_pos	file
chr4	69085386	69665979	True	0.3937	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	142159173	142176074	True	-1.4229	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr15	19537035	20088256	True	2.3847	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr4	69069651	69665979	True	0.4097	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr13	113574877	113600541	True	-0.9999	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr4	69069651	69665979	True	0.4097	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr4	69088563	69677857	True	0.4027	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr15	19412049	20088256	True	2.1288	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	142118024	142176074	True	0.2945	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr15	19465359	19845942	True	3.0056	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr17	38596903	38797777	True	0.4922	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr4	69088563	69656183	True	0.3799	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr4	69069651	69684769	True	0.4278	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141673351	141714168	True	0.4859	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr4	69069651	69656183	True	0.3999	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr5	17647063	17653599	True	2.4948	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr15	19465359	20088256	True	2.2254	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr17	21720091	22484302	True	4.7948	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr20	28252024	29308105	True	0.1951	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr15	19405220	19844217	True	2.7387	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	142149857	142187073	True	0.4511	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr4	69069651	69665979	True	0.4097	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141720303	142166710	True	0.4708	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141720303	142152205	True	0.4558	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141720324	142152205	True	0.4559	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	142166710	142167901	True	-0.0084	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141711513	True	-0.1850	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141720324	142161005	True	0.4667	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	142166710	142167908	True	-0.0025	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141720303	142152205	True	0.4558	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141698634	141714168	True	-0.0684	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141720303	142085047	True	0.3556	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
chr7	141700432	141709835	True	-0.1976	/Users/suny1/data/datahub/public/prad_mskcc_2014/prad_mskcc_2014_data_cna_hg18.seg
