Composite Element REF	Hugo_Symbol	Group	TCGA-KL-8323-01	TCGA-KL-8324-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8327-01	TCGA-KL-8328-01	TCGA-KL-8329-01	TCGA-KL-8330-01	TCGA-KL-8331-01	TCGA-KL-8332-01	TCGA-KL-8333-01	TCGA-KL-8334-01	TCGA-KL-8335-01	TCGA-KL-8336-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KL-8339-01	TCGA-KL-8340-01	TCGA-KL-8341-01	TCGA-KL-8342-01	TCGA-KL-8343-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KM-8438-01	TCGA-KM-8439-01	TCGA-KM-8440-01	TCGA-KM-8441-01	TCGA-KM-8442-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8418-01	TCGA-KN-8419-01	TCGA-KN-8421-01	TCGA-KN-8422-01	TCGA-KN-8423-01	TCGA-KN-8424-01	TCGA-KN-8425-01	TCGA-KN-8426-01	TCGA-KN-8427-01	TCGA-KN-8428-01	TCGA-KN-8429-01	TCGA-KN-8431-01	TCGA-KN-8432-01	TCGA-KN-8433-01	TCGA-KN-8434-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8437-01	TCGA-KO-8403-01	TCGA-KO-8404-01	TCGA-KO-8405-01	TCGA-KO-8406-01	TCGA-KO-8407-01	TCGA-KO-8408-01	TCGA-KO-8409-01	TCGA-KO-8410-01	TCGA-KO-8411-01	TCGA-KO-8413-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KO-8416-01	TCGA-KO-8417-01
cg00013618		BodyBody	0.93069153818067	0.613549598460157	0.132449632993207	0.929862957575789	0.954268358006901	0.720287468703082	0.877114550869515	0.9492826394199	0.935614575276087	0.653429874697352	0.85935143412505	0.948324340744695	0.923753112653241	0.457873932078709	0.950620139554477	0.581889628851451	0.951029001491951	0.942142910520068	0.943421241214523	0.916122608039337	0.395420686452389	0.927133502108267	0.633531849781566	0.116892852424549	0.906231073855664	0.947319264297037	0.901219711181998	0.943686831680161	0.788612905348476	0.939206686964821	0.943739945645963	0.791410019639594	0.943975765295485	0.686801250395464	0.326566029042905	0.94828965989839	0.942272989111841	0.425542881474866	0.810249220172383	0.841329478149315	0.824397931398717	0.368899948351005	0.806157799433167	0.641670948982355	0.86354281059904	0.769949515956601	0.934014190194567	0.964754213392207	0.93835302384707	0.915344776597333	0.942769143902625	0.926828769866475	0.627774556983606	0.851555051209997	0.918213869007677	0.908110997002128	0.832371072392745	0.93068469737572	0.67512018478372	0.940515331644215	0.586175882176681	0.94234202322953	0.880625081390936	0.925156422766957	0.94253163790075
cg00059930		NA	0.889340211933513	0.291572179432103	0.888772326787287	0.887657529481928	0.926853244935732	0.374583231311309	0.728192713485619	0.908396076124745	0.87063840907301	0.799212808105087	0.723977161628979	0.349037099543887	0.866305952248736	0.836945560756626	0.447645821688916	0.826402786152668	0.86324954049988	0.380634447395374	0.315866968626341	0.860778525393762	0.857678567985066	0.836306153760652	0.876378024822754	0.267918378475707	0.818718593633111	0.775567055671419	0.884463859714083	0.734484873610227	0.867944085147381	0.894809723332271	0.302373600549939	0.56271318809164	0.793840408843816	0.887021948186198	0.855664454574639	0.889384586391465	0.32738494851701	0.803823728553341	0.46610328922625	0.757861012871757	0.804460995926596	0.719230375043734	0.796586579868222	0.289833139115259	0.382056004375969	0.849872008426675	0.781069667439529	0.845430899543246	0.909912141231176	0.506096405357257	0.802814313317047	0.788116031008118	0.678175722789426	0.658577805415685	0.298222822790862	0.805470101021958	0.816876223392445	0.829914849579793	0.765724001889521	0.470254569596021	0.797492625215721	0.844350676533584	0.834501585031099	0.861072073549788	0.883335239500698
cg00061629		NA	0.170505212454231	0.24730397358119	0.112825518751262	0.269884689525856	0.287996381036364	0.346011036630311	0.285129643116286	0.20003306738715	0.159163049366753	0.409881828108562	0.520490284545383	0.228607384146037	0.246823622736761	0.332314598842658	0.353686622508429	0.102576118460142	0.918291520667754	0.429734758953184	0.226048023967625	0.403822987592029	0.295740291152051	0.391426731610762	0.554549526124389	0.186306132836392	0.119467315869685	0.244196571417984	0.12336554102298	0.60979999137405	0.138636616743457	0.279145482121689	0.275926382026044	0.306303560306188	0.325527214885682	0.0386312816273771	0.0557064597383698	0.288189030154891	0.270300924525758	0.622312893595863	0.118960996305829	0.27584781131375	0.163283752020307	0.153344134570458	0.396846185243276	0.654760464657042	0.180948875548929	0.698466627046168	0.137776842437002	0.240992026880011	0.143846129496623	0.310543082109368	0.363185857664116	0.264489459810783	0.794437937006058	0.283690889192476	0.172666883560598	0.148838352342651	0.220001024057133	0.0889450754844988	0.246639285505994	0.206690018477799	0.368980720034462	0.169433268964246	0.474046170650982	0.208673032648212	0.0726208898816718
cg00090147		Body	0.117674089789115	0.260128436051827	0.134368871348679	0.131926163323349	0.129605618600324	0.146556776843778	0.168107620860478	0.124640624743345	0.140713723694484	0.159018251224995	0.189904238828874	0.160338112371211	0.110552134602363	0.231366556659129	0.0993584438886475	0.144929210222846	0.159806287859156	0.445695753298689	0.112534434482002	0.204278539587013	0.118256574023536	0.124817361519644	0.284441796006888	0.101048717208826	0.190827853967427	0.12244180126661	0.254395764364647	0.156474033407849	0.125905043129338	0.162646803671016	0.0796800652377126	0.110383104340556	0.12070959157885	0.161914548328677	0.102448401987853	0.124603587764812	0.0971022339674921	0.116678514088931	0.119798869576085	0.132239771354422	0.11299326363484	0.557593166192504	0.221203099171084	0.131347266551813	0.145665032225051	0.127168399292424	0.121574097612614	0.479033672968247	0.082330680774554	0.101020723342199	0.15170658566355	0.177999682177196	0.130285827179759	0.134950081161021	0.186709825521445	0.467112979267297	0.125976239081887	0.16277338979818	0.156408888266575	0.111706789025834	0.108387110965184	0.236078526855313	0.122604162363844	0.121405781311873	0.107461928407788
cg00117172		NA	0.842822417717549	0.0671366806134363	0.0754325431470764	0.114707904292794	0.063733558068865	0.0522515363933762	0.0730756977926811	0.0394166262326564	0.336622582410855	0.144625114984171	0.0723048681883413	0.154608376437164	0.111982382920943	0.370560217791867	0.159843096838244	0.43109456887593	0.897246817686866	0.0994112713767544	0.11756732226473	0.0546722051639428	0.0716251632503915	0.179393801275171	0.0755509546005334	0.0733442914226995	0.052140470343837	0.135070358358065	0.0501810120527479	0.0503199011376258	0.045658987841278	0.0388610895365246	0.175004340069801	0.047033589343163	0.0683944117747682	0.0668597883682186	0.0323208424762739	0.531373361796131	0.0427219824258547	0.6924043486212	0.0504366039608261	0.0420014430605643	0.0983474520414111	0.653485672639519	0.372792702704592	0.101438334416563	0.0594645421284656	0.380665902197308	0.0504175054685872	0.173546878999901	0.0712906225412534	0.0549358918548289	0.088139121525991	0.0992991722261873	0.710321133687182	0.102480831967182	0.0536211444743378	0.0674790315600933	0.313314516691805	0.105204117138664	0.0976550636440612	0.120526408081635	0.0405000790222723	0.0925561659894399	0.0718555010957684	0.0931372824010757	0.0648063606893348
cg00129774		NA	0.0322671357728652	0.030266064139711	0.0384208290105861	0.0579233177143314	0.0316453041130177	0.0330441766415571	0.0317679250219695	0.0403780131643369	0.0345371546632233	0.0313564952364428	0.0471170379563878	0.0457708060634189	0.0388771966692997	0.0316077717029193	0.0363654876946734	0.0318464463444813	0.0475185251452968	0.0333895279228558	0.0379064985647405	0.0326008939123049	0.036519132792401	0.0390843635281311	0.0373007389960856	0.0488263323765364	0.0291211394423596	0.0314815555864796	0.0334527796470894	0.0378574989757577	0.0396982444632613	0.0339143671154969	0.0299229217020759	0.0362868687816775	0.031170451369223	0.0328946478433728	0.0313011917791321	0.0389590464945722	0.0377782525638444	0.0312266403448484	0.0333996251549592	0.033969998374215	0.028618499453273	0.0343983349372695	0.030727116246432	0.0294714356584328	0.0351402498514845	0.0372121328153942	0.0425223391624347	0.0450269931427734	0.134725380424457	0.0429720841513196	0.0465661328191045	0.0328725131185646	0.0432463038319117	0.0373557582558923	0.0478508156973831	0.035909466270898	0.0346010377268639	0.0362778656943906	0.0306158917015491	0.0308063448286297	0.0313844552215243	0.030055257870832	0.0294072199046732	0.0317479740218244	0.0453347967893044
cg00210842		Body	0.0315808867451944	0.0222772042420584	0.028999846178594	0.0296582991942888	0.0260445588454856	0.0304281954285856	0.0246747185816106	0.0329674305929309	0.0301552992847017	0.0406481380066075	0.0372322591455608	0.0258993620732963	0.0289498632165776	0.0302986856678683	0.0216994756011206	0.0285582174096466	0.0227049822073513	0.0344111409629756	0.0352864438293558	0.0249705982266206	0.0247792361156451	0.0258715144956647	0.0260804495223846	0.0237832689919209	0.0249640813436707	0.0238924567856137	0.0223194143952668	0.0214794429908546	0.032644585976081	0.0322958574923569	0.0317597535017266	0.0246644574084709	0.0200598104445768	0.0232811766282817	0.0236745524864171	0.0329780309695708	0.0219550264322749	0.0282705259080167	0.0235545565271025	0.0238661987090896	0.0337320659017782	0.0229504786274223	0.0236781537509073	0.0254631827954324	0.0245413139405787	0.0282172394814228	0.0295838118701127	0.0286523239731239	0.0281044221152788	0.0329027984386936	0.0243054393605118	0.0325340924840952	0.0311208125450337	0.0233828475833076	0.0359612698533985	0.0366507631274797	0.0255459095521508	0.0346534763450894	0.0305036225987123	0.0248441931481037	0.0191581322022236	0.0280547347089349	0.0233009396672184	0.0276030854527845	0.0233153381305818
cg00354258		TSS1500TSS200TSS1500	0.930333991817903	0.912000828620072	0.914750907787918	0.933616384860632	0.942734314391657	0.93984666591283	0.901138731845104	0.941376550438349	0.9568696114479	0.913477354868401	0.865782417207536	0.914807088372587	0.923198440650588	0.937406739311719	0.938847351138489	0.939083667058554	0.935988821257119	0.914211379928702	0.944510868119975	0.925320644668605	0.858628641881651	0.886742742703821	0.91372078092611	0.932945718284519	0.915776609659303	0.915203231428437	0.965956986712908	0.878104293221759	0.919343218944517	0.934102680470792	0.629626103739628	0.853691040865367	0.905266455047554	0.934026472728397	0.856767512623348	0.928184000112923	0.847109912088507	0.898066558376372	0.907615096952179	0.914481474587418	0.895440849271867	0.908242495365134	0.85321465007844	0.926047759718307	0.920932721511966	0.923472215200901	0.92093107184918	0.933122264832935	0.944510483301306	0.939687151565632	0.879247303737835	0.915453733460073	0.359277768611802	0.897455467525289	0.888151180039128	0.87673188429158	0.922397139799962	0.954418467687747	0.590497609167938	0.924917431404362	0.918075281767629	0.938752395142897	0.903919350718053	0.916198357015949	0.945649241967113
cg00399483		Body	0.495096502527872	0.142674802073853	0.118570585153119	0.153273783549727	0.146379626375996	0.151646439381866	0.196281323873854	0.333846525648859	0.204447200105893	0.134132587243695	0.255498196503703	0.206398020753254	0.164829592384926	0.134422034819648	0.176365362201839	0.250125102476647	0.706838717745491	0.190312856078814	0.596699092345385	0.161853508500683	0.109706691951808	0.138375301071877	0.54854434169087	0.148342804282045	0.306344249821678	0.147633840010219	0.388381350058916	0.148274433000759	0.580557733104033	0.136357313561379	0.136608656645566	0.168471136097712	0.196089082116152	0.184080323949172	0.126221255182237	0.176081376668944	0.12274448509305	0.137802775925833	0.157605150006151	0.139256977633976	0.304982688211845	0.257616942969463	0.253576433989194	0.235508184413619	0.432853399474839	0.147085390835158	0.15495968704483	0.180912163429665	0.261822572239347	0.117560004846266	0.109437716066971	0.155540015563852	0.161651927754657	0.185524351409947	0.185682490113261	0.276834599193228	0.378111112770554	0.15866913159204	0.170414542855963	0.142481548195208	0.142288833450502	0.314082254472081	0.103608041248588	0.517721139238344	0.161713832183779
cg00418150		Body	0.210403068676287	0.207296344284957	0.154460704394285	0.306455288768243	0.3240627788533	0.228576418586466	0.338732767137462	0.179333759070827	0.272823787532613	0.252143808045177	0.467033490217409	0.284277423335061	0.481931918043072	0.294998094351941	0.477026287180608	0.247816312291276	0.142287976872243	0.287812420079856	0.786236231326975	0.263536677855837	0.318650205322333	0.274153104016012	0.31687531776267	0.47575838004036	0.460688778771558	0.423541257310717	0.227965366085541	0.369234156953043	0.173145452836646	0.219613299480305	0.439416761328761	0.258561765522409	0.321853183470951	0.491391942864159	0.24832767535167	0.241596748670819	0.212239301848877	0.233518651925927	0.230062530097367	0.212958695104645	0.178873590397405	0.647142557059978	0.435720515861021	0.22180514627579	0.251144825986288	0.280178980360898	0.667220861226163	0.339195517110711	0.302595683045609	0.879490038282564	0.662744938026835	0.282563400330803	0.586664736283722	0.284978722136096	0.230724078457815	0.245607492151251	0.453385631461834	0.226498290968295	0.365797106954859	0.22324362533166	0.292804935766011	0.263167234780071	0.503166373612602	0.21854862197384	0.235317911277584
